county_fips,food_desert_prevalence,obesity_pct,poverty_pct,median_income_usd,education_pct,diabetes_pct,inactivity_pct
13023,33.33333333333333,41.2,20.54,53005.0,18.29,13.1,27.5
13025,33.33333333333333,39.7,16.93,47801.0,10.9,13.8,32.5
13027,40.0,42.3,25.36,47656.0,13.57,18.5,36.8
13029,14.285714285714285,37.7,7.23,94234.0,34.64,9.8,21.7
13031,41.66666666666667,36.3,22.52,56832.0,30.8,10.8,23.7
13033,50.0,45.0,19.17,50739.0,14.26,15.8,31.1
13035,33.33333333333333,40.2,12.89,59221.0,13.9,13.0,29.4
13037,50.0,46.6,22.71,55714.0,12.14,17.6,37.0
13039,36.36363636363637,37.3,15.04,72399.0,22.43,11.8,27.2
13043,0.0,44.0,17.52,50431.0,13.64,16.3,35.9
13045,29.411764705882355,36.3,15.62,72327.0,22.43,11.4,25.1
